from,to,distance,ntrains
ANSB,CDG,105.0,2
ANSB,UHL,36.0,2
ANT,QG,19.0,2
ANT,ATPA,19.0,2
ANV,TUNI,17.0,35
ANV,SLO,37.0,27
ANV,PAP,24.0,15
ANV,GLP,19.0,3
ANV,YLM,56.0,8
ANV,DGDG,10.0,2
ANVR,CNJ,2.0,1
ANVR,MWC,4.0,1
ANVR,SBB,6.0,2
ANVR,TKJ,10.0,2
ANVT,MB,153.0,10
ANVT,CNB,428.0,43
ANVT,GZB,12.0,49
ANVT,MTC,60.0,4
ANVT,SBB,6.0,2
ANVT,TDL,197.0,2
ANVT,GOY,424.0,5
ANW,UNI,8.0,2
ANW,DOLK,6.0,2
ANY,KZB,6.0,2
ANY,KZY,2.0,2
AO,NSU,7.0,2
AO,KEG,12.0,2
AO,SPN,91.0,10
AO,CH,42.0,12
AO,DUB,18.0,2
AO,BE,24.0,4
APA,SEU,8.0,1
APA,BER,6.0,1
APDJ,HOJ,26.0,2
APDJ,NBQ,112.0,6
APDJ,HSA,35.0,12
APDJ,NCB,22.0,8
APDJ,KOJ,81.0,10
APDJ,BNV,69.0,2
APDJ,NMZ,114.0,2
APDJ,RVK,11.0,2
APDJ,DLO,60.0,4
APK,VPT,22.0,11
APK,MNM,45.0,9
APK,KKDI,105.0,2
APL,MCVM,7.0,2
APL,BPP,9.0,2
APMR,GJWL,11.0,2
APMR,NCRM,6.0,2
APN,VGE,19.0,2
APN,SXT,8.0,2
APR,BUH,21.0,11
APR,KTMA,31.0,10
APR,SDL,41.0,28
APR,PND,50.0,37
APR,JTI,14.0,14
APR,BJRI,48.0,2
APT,SLO,26.0,26
APT,RJY,24.0,7
APT,DWP,4.0,22
APT,BVL,9.0,3
APTA,PNVL,15.0,3
APTA,JITE,10.0,9
APTA,RSYI,4.0,6
AQG,RDRA,8.0,2
AQG,JSM,102.0,2
AQG,POK,4.0,1
AQG,OCH,17.0,1
ARA,BXR,69.0,151
ARA,DNR,39.0,114
ARA,PNBE,49.0,49
ARA,BTA,22.0,26
ARA,BEA,22.0,20
ARA,DURE,53.0,12
ARA,DDU,159.0,6
ARA,GQN,19.0,2
ARA,PIRO,39.0,2
ARA,MTBH,6.0,1
ARA,KUA,10.0,1
ARA,PPTA,46.0,4
ARCL,BPB,23.0,2
ARCL,JRBM,50.0,2
ARCL,SCA,8.0,3
ARCL,SCL,7.0,3
ARD,RGT,6.0,4
ARD,BTS,6.0,4
ARGP,RDI,5.0,1
ARGP,BSN,5.0,1
ARI,STLI,15.0,2
ARJ,BSB,35.0,23
ARJ,MAU,57.0,10
ARJ,BCY,31.0,12
ARJ,GCT,40.0,39
ARJ,SRNT,24.0,8
ARJ,KDQ,14.0,4
ARJ,NDJ,22.0,2
ARJ,DHE,21.0,10
ARJ,DLR,37.0,4
ARJ,SDT,19.0,8
ARJ,KCT,30.0,2
ARJ,JNU,59.0,4
ARK,KRPU,85.0,2
ARK,SUP,79.0,2
ARK,ARKV,6.0,2
ARK,GPJ,10.0,2
ARKV,SMLG,6.0,2
ARL,BLU,10.0,2
ARL,KJN,16.0,2
ARNA,KVGM,5.0,2
ARNA,BKI,6.0,2
ARPL,GWD,8.0,2
ARPL,SRNR,4.0,2
ARQ,FBG,29.0,6
ARQ,PRNA,38.0,6
ARU,KMSI,15.0,4
ARV,VLR,36.0,4
ARV,PRL,16.0,2
ARV,TNM,47.0,2
AS,MHJ,15.0,7
AS,SOG,47.0,4
AS,RJS,16.0,3
ASAF,RECH,14.0,4
ASAF,SKZR,14.0,4
ASCE,KUW,6.0,1
ASCE,SRO,6.0,1
ASD,SMD,16.0,2
ASD,KKY,15.0,4
ASD,KIC,4.0,4
ASD,PCM,27.0,2
ASE,BGZ,8.0,1
ASE,ROHN,5.0,1
ASH,CNB,76.0,22
ASH,MBP,8.0,2
ASH,BNZ,9.0,32
ASH,ON,58.0,20
ASH,LJN,3.0,2
ASH,LC,3.0,8
ASH,HRN,27.0,2
ASH,BST,211.0,4
ASH,GD,121.0,2
ASK,DRU,39.0,43
ASK,TTR,26.0,51
ASK,HAS,47.0,10
ASK,RRB,45.0,47
ASK,TK,96.0,37
ASK,DVG,159.0,10
ASK,BSN,46.0,2
ASK,BVR,16.0,1
ASKN,MNV,46.0,10
ASKN,GUNA,44.0,27
ASKN,PIA,27.0,8
ASKN,SHDR,15.0,4
ASKN,SGO,143.0,6
ASKN,HPKA,8.0,1
ASKN,RIKA,8.0,1
ASKN,BINA,74.0,4
ASKN,MAKR,72.0,3
ASL,PSO,9.0,2
ASL,NKI,8.0,2
ASN,ULT,13.0,4
ASN,RNG,18.0,35
ASN,DHN,58.0,65
ASN,DGR,42.0,93
ASN,CRJ,25.0,82
ASN,BWN,104.0,10
ASN,MDP,82.0,18
ASN,HWH,199.0,14
ASN,JSME,111.0,8
ASN,KOAA,205.0,8
ASN,BRR,16.0,4
ASN,STN,9.0,6
ASN,JOC,37.0,12
ASN,KMME,18.0,2
ASN,KPK,5.0,2
ASN,BCQ,5.0,2
ASN,UDL,26.0,8
ASN,BURN,5.0,7
ASN,SHM,208.0,2
ASN,JMT,40.0,4
ASN,SDAH,212.0,2
ASR,JNL,19.0,9
ASR,BEAS,42.0,87
ASR,BAT,38.0,8
ASR,VKA,8.0,2
ASR,UMB,249.0,2
ASR,SRE,331.0,2
AST,PWL,11.0,2
AST,BVH,10.0,2
ASV,SDGM,4.0,7
ASV,NHM,26.0,1
AT,LOL,8.0,2
AT,KAWR,8.0,2
ATC,STPD,1.0,1
ATC,JOO,1.0,1
ATE,BNDA,31.0,24
ATE,CKTD,37.0,26
ATE,KHU,13.0,4
ATE,BUS,9.0,2
ATH,BAZ,21.0,8
ATH,KOTA,45.0,6
ATH,DXD,29.0,2
ATL,BARH,9.0,11
ATL,BKP,9.0,9
ATL,KRNN,9.0,2
ATNR,BAGL,5.0,1
ATNR,DGA,6.0,1
ATP,GTL,68.0,37
ATP,DMM,34.0,76
ATP,YNK,195.0,4
ATP,DHNE,111.0,14
ATP,GY,57.0,23
ATP,KRNT,164.0,4
ATP,GYJ,54.0,2
ATP,PSPY,5.0,3
ATP,TAC,7.0,3
ATP,GDE,17.0,1
ATP,ZPL,13.0,1
ATPA,SINA,23.0,2
ATQ,KKDI,28.0,12
ATQ,PVI,25.0,10
ATQ,PKT,46.0,2
ATR,KTKH,9.0,1
ATRU,CAG,29.0,2
ATRU,BAZ,30.0,6
ATRU,SYL,14.0,4
ATRU,POR,7.0,1
ATRU,RTA,69.0,1
ATS,SBP,24.0,4
ATS,BRGA,18.0,6
ATS,HKG,17.0,2
ATU,SA,56.0,4
ATU,CHSM,31.0,6
ATU,ETP,16.0,2
ATUL,PAD,4.0,5
ATUL,BL,6.0,5
ATX,KTNR,8.0,1
ATX,SRSI,4.0,1
AUB,DLK,59.0,2
AUB,NJP,56.0,24
AUB,KNE,30.0,30
AUB,TKG,20.0,8
AUBR,DOS,16.0,59
AUBR,GAYA,69.0,37
AUBR,RFJ,31.0,16
AUBR,SSM,34.0,2
AUBR,PES,9.0,8
AUBR,SEB,11.0,2
AUBR,JHN,20.0,2
AUI,SKHK,3.0,1
AUI,SKEN,4.0,1
AUN,HNS,7.0,3
AUN,JKZ,3.0,3
AUNG,BKO,6.0,3
AUNG,SSL,18.0,2
AUNG,KBN,6.0,1
AUS,TSD,19.0,4
AUS,SDMK,10.0,4
AVD,KPD,115.0,3
AVD,PER,14.0,4
AVD,MAS,21.0,2
AVD,TRL,27.0,1
AVK,ONR,4.0,2
AVK,KXT,6.0,10
AVK,WEL,2.0,8
AVN,SHU,9.0,4
AVN,CTRE,4.0,2
AVRD,SVX,11.0,19
AVRD,SGR,13.0,18
AVRD,KDVI,6.0,1
AVS,PUU,8.0,14
AVS,KKZ,11.0,10
AVS,KIF,4.0,4
AWB,LSR,33.0,15
AWB,J,63.0,45
AWB,MMR,113.0,12
AWB,NSL,89.0,14
AWB,RGO,61.0,3
AWB,MKDD,6.0,6
AWB,DLB,12.0,2
AWR,RE,74.0,31
AWR,BKI,61.0,26
AWR,KRH,27.0,33
AWR,JP,150.0,16
AWR,GVH,46.0,4
AWR,RHG,36.0,18
AWR,DEC,142.0,4
AWR,DO,90.0,10
AWR,GGN,125.0,2
AWR,MKH,19.0,4
AWR,MWW,11.0,2
AWR,PSL,13.0,4
AWR,GZKA,8.0,2
AWR,RAH,26.0,2
AWR,GADJ,145.0,2
AWY,TCR,54.0,102
AWY,ERS,20.0,62
AWY,ERN,17.0,73
AWY,IPL,11.0,5
AWY,KLMR,6.0,2
AWY,CKI,25.0,2
AXA,WKR,8.0,1
AXA,SDD,5.0,1
AY,AYC,8.0,46
AY,GGJ,31.0,23
AY,BLG,15.0,1
AY,MUR,38.0,18
AY,SHG,98.0,10
AY,LKO,135.0,8
AY,KEA,8.0,2
AY,BSB,188.0,2
AY,GTNR,127.0,2
AY,BST,100.0,2
AY,RDL,45.0,2
AYC,RDL,38.0,13
AYC,SLW,15.0,12
AYC,LKO,127.0,32
AYC,DYD,61.0,2
AYC,KJA,27.0,2
AYC,MEQ,19.0,2
AYC,BBK,99.0,1
AYC,GTNR,120.0,2
AYC,SHG,105.0,8
AYC,BSB,196.0,2
AYC,SLN,58.0,6
AYD,MMP,4.0,1
AYD,TRK,14.0,1
AYU,GLPT,34.0,4
AYU,BLPA,50.0,2
AYU,MZQ,8.0,2
AYU,JPZ,16.0,2
AYU,CHAA,27.0,2
AYV,SCT,15.0,2
AYV,TML,13.0,2
AYV,BJM,9.0,2
AYV,AYVN,4.0,2
AYVN,EDP,2.0,2
AZ,KWAE,73.0,11
AZ,JRLE,35.0,26
AZ,SDI,18.0,4
AZ,KGLE,15.0,23
AZ,GALE,29.0,1
AZ,LCAE,7.0,1
AZ,NFK,82.0,4
AZ,MLDT,117.0,5
AZ,NDAE,112.0,2
AZA,MRZA,12.0,2
AZA,KYQ,13.0,2
AZR,KDPR,14.0,2
AZR,DLK,42.0,2
AZR,BOE,13.0,8
AZR,KWE,8.0,4
AZR,LAV,20.0,2
AZR,KIR,43.0,2
BAB,BZY,12.0,4
BAB,VGLJ,24.0,20
BAB,TBT,25.0,6
BAB,LAR,64.0,10
BABH,KRKH,7.0,4
BABH,MAHM,8.0,4
BABR,RRGA,5.0,4
BABR,SHNR,14.0,3
BABR,BRGL,3.0,2
BABR,GLY,15.0,1
BAF,SIRD,18.0,1
BAF,MAAR,22.0,1
BAGD,VAPI,7.0,1
BAGD,UVD,3.0,1
BAGJ,RKL,8.0,1
BAGJ,POU,7.0,1
BAGL,DGA,11.0,2
BAGL,DRI,4.0,3
BAH,DEOR,17.0,2
BAH,RDHP,24.0,4
BAH,MITA,7.0,2
BAH,DVGM,12.0,2
BAH,BCOB,175.0,2
BAH,BLDI,43.0,4
BAHI,CTA,20.0,5
BAHI,CHKE,15.0,5
BAHL,QG,17.0,2
BAHP,TKRP,3.0,1
BAI,KUT,9.0,2
BAI,JHIR,7.0,2
BAJ,SNA,4.0,1
BAJ,OD,6.0,1
BAK,DO,11.0,2
BAK,KVGM,7.0,2
BAKA,MRHA,7.0,2
BAKA,DGHR,55.0,2
BAKA,BGP,51.0,2
BAKT,SKEN,3.0,1
BAKT,RBN,4.0,1
BAL,TJ,17.0,9
